"Code","Stock","Prv Close","High","Low","Last","Vol","Status","P/E","EPS*","MACD (26, 12)","Vol MA (20)","DY*","Y-Low","Y-High","RSI (14)","Open","Sector","Chg","B%"
="6815","EUPE","0.870","0.895","0.860","0.895","313","Active","2.68","30.02","-0.007","25685","2.46%","0.800","1.120","33%","0.870","120","+0.025","4"
="7208","EURO","0.050","0.050","0.050","0.050","1653","Active","","-0.52","","299705","","0.045","0.070","40%","0.050","101","-","-"
="7094","EUROSP","3.070","3.000","3.000","3.000","120","Active","6.69","44.81","0.006","25540","8.33%","2.060","3.170","45%","3.000","101","-0.070","-"
="0174","EVD","0.045","-","-","","0","Active","","-5.00","-0.003","71610","","0.030","0.080","45%","","405","","-"
="0174PA","EVD-PA","0.010","-","-","","0","Active","","","","195660","","0.010","0.040","47%","","405","","-"
="0174WB","EVD-WB","0.015","-","-","","0","Active","","","-0.004","37695","","0.015","0.065","41%","","405","","-"
="5101","EVERGRN","0.135","0.135","0.135","0.135","1202","Active","","-3.33","-0.003","452890","","0.135","0.240","50%","0.135","102","-","-"
="5283","EWICAP","0.205","0.215","0.210","0.210","6980","Active","","-17.29","-0.003","453280","","0.170","0.375","44%","0.210","120","+0.005","3"
="1287","EXSIMHB","0.305","0.330","0.300","0.325","31713","Active","41.83","1.94","0.013","2407050","","0.220","0.380","73%","0.305","101","+0.020","62"
="1287WA","EXSIMHB-WA","0.200","0.230","0.195","0.210","1376","Active","","","0.023","730890","","0.055","0.215","74%","0.200","101","+0.010","91"
="3689","F&N","33.900","33.960","33.880","33.900","3203","Active","24.16","138.90","-0.316","299665","1.92%","22.400","36.820","59%","33.900","101","-","47"
="0820EA","F4GBM-EA","1.895","1.880","1.880","1.880","174","Active","","","0.021","30555","","1.630","1.900","87%","1.880","656","-0.015","100"
="2984","FACBIND","1.610","-","-","","0","Active","31.92","4.50","0.010","17720","","1.010","1.680","53%","","102","","-"
="0378","FAMIERA","0.215","0.215","0.215","0.215","147","Active","11.80","1.82","","327365","","0.205","0.260","44%","0.215","401","-","28"
="5029","FAREAST","3.800","4.000","3.840","4.000","2005","Active","9.30","40.31","-0.066","12645","3.75%","3.350","4.500","29%","3.840","125","+0.200","100"
="6041","FARLIM","0.170","0.170","0.155","0.160","345","Active","","-1.93","0.001","13880","","0.145","0.235","67%","0.170","120","-0.010","70"
="0084","FAST","0.030","0.025","0.025","0.025","427","Active","","-5.51","-0.001","304875","","0.025","0.065","50%","0.025","402","-0.005","-"
="0084WA","FAST-WA","0.005","-","-","","0","Active","","","-0.001","95690","","0.005","0.010","67%","","402","","-"
="0084WB","FAST-WB","0.005","-","-","","0","Active","","","-0.001","83510","","0.005","0.020","50%","","402","","-"
="7229","FAVCO","1.610","1.620","1.600","1.600","984","Active","6.11","21.18","0.005","20940","5.62%","1.500","1.790","52%","1.610","102","-0.010","10"
="7047","FBG","0.150","0.150","0.150","0.150","3545","Active","24.42","0.95","","436775","6.67%","0.145","0.300","50%","0.150","103","-","-"
="7047WC","FBG-WC","0.005","-","-","","0","Active","","","-0.001","499750","","0.005","0.065","100%","","103","","-"
="7047WD","FBG-WD","0.065","-","-","","0","Active","","","","-","","0.050","0.070","58%","","103","","-"
="0650Q8","FBMKLCI-CQ8","0.235","-","-","","0","Active","","","","-","","0.230","0.235","0%","","358","","-"
="0650Q9","FBMKLCI-CQ9","-","-","-","","0","Delisted","","","","111220","","0.120","0.435","68%","","358","","-"
="0650RA","FBMKLCI-CRA","0.155","0.180","0.170","0.170","2210","Active","","","0.004","173285","","0.060","0.300","33%","0.175","358","+0.015","48"
="0650RB","FBMKLCI-CRB","0.140","0.165","0.165","0.165","700","Active","","","0.013","38450","","0.100","0.305","40%","0.165","358","+0.025","100"
="0650RC","FBMKLCI-CRC","0.110","0.145","0.135","0.145","2500","Active","","","0.013","124035","","0.065","0.230","34%","0.135","358","+0.035","66"
="0650RD","FBMKLCI-CRD","0.120","-","-","","0","Active","","","","135590","","0.055","0.135","64%","","358","","-"
="0650RE","FBMKLCI-CRE","0.195","-","-","","0","Active","","","","-","","0.075","0.230","0%","","358","","-"
="0650RF","FBMKLCI-CRF","0.120","0.140","0.130","0.135","8474","Active","","","0.007","304805","","0.100","0.240","40%","0.140","358","+0.015","19"
="0650RG","FBMKLCI-CRG","0.075","0.095","0.090","0.090","5904","Active","","","","-","","0.075","0.145","0%","0.095","358","+0.015","81"
="0650RH","FBMKLCI-CRH","0.060","0.070","0.070","0.070","1900","Active","","","","-","","0.060","0.105","0%","0.070","358","+0.010","100"
="0650RI","FBMKLCI-CRI","0.120","0.130","0.130","0.130","6000","Active","","","","-","","0.120","0.200","0%","0.130","358","+0.010","33"
="0650ED","FBMKLCI-HED","0.070","-","-","","0","Active","","","","328145","","0.060","0.130","38%","","358","","-"
="0650EE","FBMKLCI-HEE","-","-","-","","0","Delisted","","","-0.006","217465","","0.005","0.085","33%","","358","","-"
="0650EF","FBMKLCI-HEF","0.005","-","-","","0","Active","","","-0.017","275255","","0.005","0.140","100%","","358","","-"
="0650EG","FBMKLCI-HEG","0.020","-","-","","0","Active","","","","-","","0.015","0.075","0%","","358","","-"
="0650EH","FBMKLCI-HEH","0.015","0.015","0.015","0.015","2000","Active","","","-0.011","312985","","0.005","0.135","33%","0.015","358","-","50"
="0650EI","FBMKLCI-HEI","0.010","0.010","0.010","0.010","5500","Active","","","-0.016","236975","","0.005","0.100","42%","0.010","358","-","9"
="0650EJ","FBMKLCI-HEJ","0.025","0.030","0.025","0.030","700","Active","","","-0.011","469815","","0.015","0.125","50%","0.025","358","+0.005","29"
="0650EK","FBMKLCI-HEK","0.050","0.045","0.040","0.045","5010","Active","","","-0.007","630265","","0.020","0.140","59%","0.045","358","-0.005","64"
="0650EL","FBMKLCI-HEL","0.110","0.100","0.095","0.100","3200","Active","","","","-","","0.055","0.110","67%","0.095","358","-0.010","100"
="0650EM","FBMKLCI-HEM","0.105","0.150","0.150","0.150","120","Active","","","","-","","0.100","0.125","0%","0.150","358","+0.045","100"
